emotion word	pattern
joy	be/Verb RB proud/JJ of/IN
anticipation	be/Verb RB concerned/VBN about/IN
anticipation	be/Verb RB apprehensive/JJ that/IN
sadness	agonise/Verb over/IN
fear	avoid/Verb
surprise	flabbergast/Verb
anticipation	covet/Verb
anger	be/Verb irate/JJ that/IN
fear	fear/Verb that/IN
anger	be/Verb RB mad/JJ about/IN
anger	outrage/Verb
fear	fear/Verb
disgust	execrate/Verb
anger	enrage/Verb
anger	be/Verb angry/JJ with/IN
sadness	humiliate/Verb
joy	fascinate/Verb
anticipation	lust/Verb for/IN
anger	harass/Verb
surprise	nonplus/Verb
disgust	feel/Verb RB bitter/JJ about/IN
anger	arouse/Verb
joy	attract/Verb
trust	take/Verb comfort/NN in/IN
anger	aggrieve/Verb
disgust	annoy/Verb
fear	demoralise/Verb
joy	arouse/Verb
disgust	irk/Verb
anticipation	predict/Verb
joy	satisfy/Verb
fear	distress/Verb
sadness	agonize/Verb
anger	affront/Verb
disgust	repulse/Verb
anger	antagonize/Verb
joy	take/Verb pleasure/NN in/IN
fear	be/Verb RB anxious/JJ about/IN
joy	hearten/Verb
sadness	agonize/Verb over/IN
fear	perturb/Verb
disgust	appall/Verb
disgust	disgust/Verb
anticipation	assume/Verb that/IN
surprise	perplex/Verb
joy	take/Verb pleasure/NN in/IN
disgust	despise/Verb
anger	annoy/Verb
fear	worry/Verb about/IN
fear	be/Verb RB embarrass/VBN about/IN
disgust	disenchant/Verb
surprise	stagger/Verb
surprise	floor/Verb
sadness	dispirit/Verb
trust	place/Verb reliance/NN on/IN
surprise	surprise/Verb
surprise	mystify/Verb
trust	trust/Verb
surprise	unsettle/Verb
joy	be/Verb RB lucky/JJ that/IN
joy	be/Verb RB excite/VBN about/IN
anger	rile/Verb
disgust	disgust/Verb
anticipation	foresee/Verb that/IN
anticipation	forecast/Verb
fear	torment/Verb
anticipation	be/Verb RB curious/JJ about/IN
disgust	bother/Verb
anticipation	prepare/Verb for/IN
anticipation	aspire/Verb after/IN
anger	displease/Verb
anticipation	be/Verb RB keen/JJ to/TO
anger	aggravate/Verb
disgust	be/Verb averse/JJ to/IN
surprise	confuse/Verb
anger	exasperate/Verb
fear	menace/Verb
disgust	bore/Verb
anticipation	be/Verb RB keen/JJ on/IN
anticipation	prepare/Verb for/IN
fear	unsettle/Verb
anger	incense/Verb
anticipation	be/Verb RB curious/JJ about/IN
anticipation	count/Verb on/IN
anticipation	hope/Verb for/IN
fear	be/Verb RB afraid/JJ of/IN
sadness	sting/Verb
anger	fuss/Verb about/IN
fear	awe/Verb
anticipation	be/Verb RB anxious/JJ for/IN
fear	horrify/Verb
disgust	mortify/Verb
anger	inflame/Verb
joy	amuse/Verb
trust	placate/Verb
fear	be/Verb RB apprehensive/JJ about/IN
anger	fluster/Verb
sadness	afflict/Verb
fear	petrify/Verb
fear	be/Verb RB frightened/JJ that/IN
anger	be/Verb RB mad/JJ about/IN
disgust	envy/Verb
sadness	mourn/Verb that/IN
surprise	confound/Verb
