# Emotion	emotion word	cause	passiveExists?
# Words are in lemma form, e.g. no participles
# Where passiveExists? == true, pattern is converted in passive
anger	aggravate/Verb	NP	true
anger	annoy/Verb	NP	true
sadness	displease/Verb	NP	true
anger	enrage/Verb	NP	true
joy	excite/Verb	NP	true
anger	incense/Verb	NP	true
anger	inflame/Verb	NP	true
anger	infuriate/Verb	NP	true
anger	irritate/Verb	NP	true
anger	offend/Verb	NP	true
anger	outrage/Verb	NP	true
anger	provoke/Verb	NP	true
anger	rankle/Verb	NP	true
anger	be/Verb angry/JJ that/IN	S	false
anger	be/Verb angry/JJ about/IN	S	false
anger	be/Verb angry/JJ with/IN	S	false
anger	be/Verb angry/JJ at/IN	S	false
anger	be/Verb irate/JJ that/IN	S	false
anticipation	expect/Verb	NP	false
anticipation	expect/Verb that/IN	S	false
anticipation	predict/Verb	NP	false
anticipation	predict/Verb that/IN	S	false
anticipation	await/Verb	NP	false
trust	count/Verb on/IN	NP	false
trust	count/Verb on/IN	S	false
anticipation	forecast/Verb	NP	false
anticipation	forecast/Verb that/IN	S	false
anticipation	foresee/Verb	NP	false
anticipation	prepare/Verb for/IN	NP	false
anticipation	prepare/Verb for/IN	S	false
anticipation	anticipate/Verb	NP	false
anticipation	hope/Verb for/IN	NP	false
anticipation	hope/Verb for/IN	S	false
anticipation	look/Verb forward/RB to/TO	NP	false
anticipation	look/Verb forward/RB to/TO	S	false
disgust	disgust/Verb	NP	true
anger	bother/Verb	NP	true
disgust	dislike/Verb	NP	false
anger	disturb/Verb	NP	true
anger	insult/Verb	NP	true
anger	irk/Verb	NP	true
disgust	loathe/Verb	NP	false
sadness	upset/Verb	NP	true
disgust	hate/Verb	NP	false
fear	dread/Verb	NP	false
disgust	shun/Verb	NP	false
fear	worry/Verb	NP	true
fear	worry/Verb about/IN	NP	false
fear	fear/Verb	NP	false
fear	fear/Verb that/IN	S	false
fear	be/Verb RB afraid/JJ of/IN	NP	false
fear	be/Verb RB afraid/JJ that/IN	S	false
fear	be/Verb RB apprehensive/JJ about/IN	S	false
fear	frighten/Verb	NP	true
fear	be/Verb RB frightened/JJ that/IN	S	false
fear	scare/Verb	NP	true
fear	be/Verb RB scared/JJ of/IN	NP	false
fear	be/Verb RB scared/JJ that/IN	S	false
fear	spook/Verb	NP	true
fear	terrify/Verb	NP	true
fear	intimidate/Verb	NP	true
joy	delight/Verb	NP	true
joy	amuse/Verb	NP	true
joy	cheer/Verb	NP	true
joy	entertain/Verb	NP	true
joy	enjoy/Verb	NP	false
joy	enjoy/Verb that/IN	S	false
joy	take/Verb pleasure/NPB in/IN	S	false
joy	please/Verb	NP	true
joy	satisfy/Verb	NP	true
joy	thrill/Verb	NP	true
surprise	wow/Verb	NP	true
joy	be/Verb RB happy/JJ about/IN	NP	false
joy	be/Verb RB happy/JJ about/IN	S	false
sadness	sadden/Verb	NP	true
sadness	grieve/Verb that/IN	S	false
sadness	be/Verb sad/JJ that/IN	S	false
sadness	mourn/Verb	NP	false
sadness	mourn/Verb that/IN	S	false
disgust	deplore/Verb	NP	false
sadness	regret/Verb	NP	false
sadness	regret/Verb that/IN	S	false
surprise	amaze/Verb	NP	true
surprise	bewilder/Verb	NP	true
surprise	confound/Verb	NP	true
surprise	confuse/Verb	NP	true
surprise	flabbergast/Verb	NP	true
fear	rattle/Verb	NP	true
surprise	shock/Verb	NP	true
surprise	surprise/Verb	NP	true
surprise	startle/Verb	NP	true
surprise	stun/Verb	NP	true
trust	trust/Verb	NP	false
trust	trust/Verb that/IN	S	false
trust	rely/Verb on/IN	NP	false

# adjectives taken from Tsvetkov et al.
anger	afflict/Verb	NP	true
fear	be/Verb RB anxious/JJ about/IN	NP	false
fear	be/Verb RB anxious/JJ that/IN	S	false
disgust	be/Verb RB ashamed/JJ of/IN	NP	false
disgust	be/Verb RB ashamed/JJ of/IN	S	false
trust	take/Verb comfort/NN in/IN	NP	false
trust	take/Verb comfort/NN in/IN	S	false
joy	take/Verb pleasure/NN in/IN	NP	false
joy	take/Verb pleasure/NN in/IN	S	false
